gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
061627,01,000208,2002-12-23,2006-05-16,Nasdaq 100,LGCAP,I0028,,,EXCHG,PIXAR,PIXR,725811103,0001002114,7812,512110
014565,01,000208,2002-12-23,2007-02-13,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMERICAN POWER CONVERSION CP,APCC.,029066107,0000835910,3620,335999
009248,01,000208,2002-12-23,2007-12-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,ROSS STORES INC,ROST,778296103,0000745732,5651,458110
024893,01,000208,2002-12-23,2008-12-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,WHOLE FOODS MARKET INC,WFM,966837106,0000865436,5411,445110
028648,01,000208,2002-12-23,2008-12-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,PETSMART INC,PETM,716768106,0000863157,5990,453910
063422,01,000208,2002-12-23,2008-12-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,LAMAR ADVERTISING CO  -CL A,LAMR,512816109,0001090425,6798,531190
013700,01,000208,2002-12-23,2013-12-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,DENTSPLY SIRONA INC,XRAY,24906P109,0000818479,3843,339114
004494,01,000208,2002-12-23,2015-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,EXPEDITORS INTL WASH INC,EXPD,302130109,0000746515,4731,488510
065609,01,000208,2002-12-23,2015-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,C H ROBINSON WORLDWIDE INC,CHRW,12541W209,0001043277,4213,484121
061513,01,000208,2003-11-13,2008-12-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,SANDISK CORP,SNDK,80004C101,0001000180,3572,334112
013440,03,000208,2003-12-22,2005-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,LEVEL 3 COMMUNICATIONS INC,LVLT,52729N308,0000794323,4813,517110
066379,01,000208,2003-12-22,2005-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,PERDOCEO EDUCATION CORP,PRDO,71363P106,0001046568,8200,611310
130762,01,000208,2003-12-22,2005-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTERSIL CORP  -CL A,ISIL,46069S109,0001096325,3674,334413
029322,01,000208,2003-12-22,2006-10-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,ATI TECHNOLOGIES INC,ATYT,001941103,0001065331,3674,334413
006565,01,000208,2003-12-22,2012-12-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,LAM RESEARCH CORP,LRCX,512807108,0000707549,3559,333242
065986,01,000208,2003-12-22,2012-12-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,BLACKBERRY LTD,BB,09228F103,0001070235,7372,513210
137310,01,000208,2003-12-22,2012-12-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,MARVELL TECHNOLOGY INC,MRVL,573874104,0001835632,3674,334413
141459,01,000208,2003-12-22,2015-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,GARMIN LTD,GRMN,H2906T109,0001121788,3812,334511
